
> peermesh@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.71:3000
- Environments: .env.local
✓ Ready in 1501ms
Creating turbopack project { dir: 'C:\\Users\\ajibe\\peermesh', testMode: true }

○ Compiling / ...
 GET / 200 in 150ms (next.js: 12ms, proxy.ts: 16ms, application-code: 122ms)
 GET / 200 in 348ms (next.js: 10ms, proxy.ts: 13ms, application-code: 325ms)
 GET /auth?mode=login 200 in 1656ms (next.js: 1381ms, proxy.ts: 15ms, application-code: 259ms)
 GET / 200 in 599ms (next.js: 11ms, proxy.ts: 12ms, application-code: 576ms)
 GET / 200 in 458ms (next.js: 33ms, proxy.ts: 17ms, application-code: 408ms)
 GET / 200 in 765ms (next.js: 36ms, proxy.ts: 13ms, application-code: 715ms)
 GET / 200 in 522ms (next.js: 100ms, proxy.ts: 43ms, application-code: 379ms)
 GET / 200 in 1120ms (next.js: 32ms, proxy.ts: 12ms, application-code: 1076ms)
 GET / 200 in 663ms (next.js: 102ms, proxy.ts: 23ms, application-code: 538ms)
 GET / 200 in 693ms (next.js: 28ms, proxy.ts: 27ms, application-code: 638ms)
 GET /auth? 200 in 236ms (next.js: 8ms, proxy.ts: 12ms, application-code: 216ms)
 GET /auth? 200 in 204ms (next.js: 7ms, proxy.ts: 12ms, application-code: 185ms)
 GET /auth? 200 in 150ms (next.js: 11ms, proxy.ts: 14ms, application-code: 124ms)
 GET /auth? 200 in 101ms (next.js: 12ms, proxy.ts: 8ms, application-code: 80ms)
 GET /auth? 200 in 154ms (next.js: 7ms, proxy.ts: 7ms, application-code: 140ms)
 GET /auth? 200 in 120ms (next.js: 10ms, proxy.ts: 11ms, application-code: 99ms)
 GET /auth? 200 in 121ms (next.js: 12ms, proxy.ts: 7ms, application-code: 101ms)
 GET /auth? 200 in 179ms (next.js: 9ms, proxy.ts: 7ms, application-code: 163ms)
 GET /auth? 200 in 126ms (next.js: 9ms, proxy.ts: 10ms, application-code: 107ms)
 GET /auth? 200 in 102ms (next.js: 7ms, proxy.ts: 7ms, application-code: 89ms)
 GET /auth? 200 in 191ms (next.js: 6ms, proxy.ts: 7ms, application-code: 179ms)
 GET /auth? 200 in 194ms (next.js: 11ms, proxy.ts: 13ms, application-code: 169ms)
 GET /auth? 200 in 112ms (next.js: 8ms, proxy.ts: 6ms, application-code: 97ms)
 GET /auth? 200 in 145ms (next.js: 12ms, proxy.ts: 8ms, application-code: 125ms)
 GET /auth? 200 in 151ms (next.js: 7ms, proxy.ts: 9ms, application-code: 136ms)
 GET /auth? 200 in 118ms (next.js: 9ms, proxy.ts: 6ms, application-code: 103ms)
 GET /auth? 200 in 131ms (next.js: 8ms, proxy.ts: 7ms, application-code: 116ms)
 GET /auth? 200 in 206ms (next.js: 9ms, proxy.ts: 10ms, application-code: 187ms)
 GET /auth? 200 in 136ms (next.js: 10ms, proxy.ts: 7ms, application-code: 119ms)
 GET /auth? 200 in 138ms (next.js: 7ms, proxy.ts: 5ms, application-code: 126ms)
 GET /auth? 200 in 121ms (next.js: 7ms, proxy.ts: 10ms, application-code: 104ms)
 GET /auth? 200 in 150ms (next.js: 10ms, proxy.ts: 6ms, application-code: 133ms)
 GET /auth? 200 in 141ms (next.js: 6ms, proxy.ts: 7ms, application-code: 128ms)
 GET /auth? 200 in 235ms (next.js: 54ms, proxy.ts: 7ms, application-code: 175ms)
 GET /auth? 200 in 94ms (next.js: 6ms, proxy.ts: 7ms, application-code: 80ms)
 GET /auth? 200 in 186ms (next.js: 17ms, proxy.ts: 7ms, application-code: 162ms)
 GET /auth? 200 in 132ms (next.js: 8ms, proxy.ts: 9ms, application-code: 115ms)
 GET /auth? 200 in 146ms (next.js: 7ms, proxy.ts: 6ms, application-code: 132ms)
 GET /auth? 200 in 128ms (next.js: 6ms, proxy.ts: 6ms, application-code: 116ms)
 GET /auth? 200 in 140ms (next.js: 6ms, proxy.ts: 8ms, application-code: 125ms)
 GET /auth? 200 in 116ms (next.js: 7ms, proxy.ts: 6ms, application-code: 102ms)
 GET /auth? 200 in 129ms (next.js: 9ms, proxy.ts: 6ms, application-code: 113ms)
 GET /auth? 200 in 146ms (next.js: 6ms, proxy.ts: 8ms, application-code: 131ms)
 GET /auth? 200 in 125ms (next.js: 12ms, proxy.ts: 11ms, application-code: 103ms)
 GET /auth? 200 in 129ms (next.js: 13ms, proxy.ts: 8ms, application-code: 109ms)
 GET /auth? 200 in 113ms (next.js: 7ms, proxy.ts: 6ms, application-code: 100ms)
 GET /auth? 200 in 178ms (next.js: 8ms, proxy.ts: 11ms, application-code: 160ms)
 GET /auth? 200 in 108ms (next.js: 6ms, proxy.ts: 6ms, application-code: 96ms)
 GET /auth? 200 in 178ms (next.js: 15ms, proxy.ts: 12ms, application-code: 151ms)
 GET /auth? 200 in 207ms (next.js: 17ms, proxy.ts: 7ms, application-code: 184ms)
 GET /auth? 200 in 119ms (next.js: 10ms, proxy.ts: 9ms, application-code: 101ms)
 GET /auth? 200 in 143ms (next.js: 8ms, proxy.ts: 7ms, application-code: 128ms)
 GET /auth? 200 in 147ms (next.js: 56ms, proxy.ts: 6ms, application-code: 85ms)
 GET /auth? 200 in 130ms (next.js: 6ms, proxy.ts: 10ms, application-code: 113ms)
 GET /auth? 200 in 128ms (next.js: 9ms, proxy.ts: 6ms, application-code: 112ms)
 GET /auth? 200 in 124ms (next.js: 6ms, proxy.ts: 6ms, application-code: 112ms)
 GET /auth? 200 in 150ms (next.js: 7ms, proxy.ts: 10ms, application-code: 132ms)
 GET /auth? 200 in 166ms (next.js: 14ms, proxy.ts: 7ms, application-code: 146ms)
 GET /auth? 200 in 108ms (next.js: 7ms, proxy.ts: 7ms, application-code: 95ms)
 GET /auth? 200 in 204ms (next.js: 7ms, proxy.ts: 8ms, application-code: 190ms)
 GET /auth? 200 in 186ms (next.js: 9ms, proxy.ts: 10ms, application-code: 167ms)
 GET /auth? 200 in 127ms (next.js: 9ms, proxy.ts: 11ms, application-code: 107ms)
 GET /auth? 200 in 158ms (next.js: 7ms, proxy.ts: 6ms, application-code: 145ms)
 GET /auth? 200 in 138ms (next.js: 7ms, proxy.ts: 7ms, application-code: 124ms)
 GET /auth? 200 in 314ms (next.js: 7ms, proxy.ts: 10ms, application-code: 298ms)
 GET /auth? 200 in 155ms (next.js: 9ms, proxy.ts: 7ms, application-code: 139ms)
 GET /auth? 200 in 493ms (next.js: 10ms, proxy.ts: 13ms, application-code: 470ms)
 GET /auth? 200 in 198ms (next.js: 12ms, proxy.ts: 10ms, application-code: 177ms)
 GET /auth? 200 in 145ms (next.js: 9ms, proxy.ts: 12ms, application-code: 125ms)
